bigram,n,star,pec
pet owners,9,2,0.011097410604192354
teeth cleaning,9,2,0.011097410604192354
bedside manner,8,2,0.009864364981504316
bow wow,8,2,0.009864364981504316
camp bow,8,2,0.009864364981504316
cat food,8,2,0.009864364981504316
day care,8,2,0.009864364981504316
ear infection,8,2,0.009864364981504316
report card,8,2,0.009864364981504316
vet clinic,8,2,0.009864364981504316
2 months,7,2,0.008631319358816275
24 hours,7,2,0.008631319358816275
3 hours,7,2,0.008631319358816275
3 weeks,7,2,0.008631319358816275
4 hours,7,2,0.008631319358816275
5 minutes,7,2,0.008631319358816275
paw commons,7,2,0.008631319358816275
wet food,7,2,0.008631319358816275
1 1,6,2,0.007398273736128237
1 free,6,2,0.007398273736128237
1 star,6,2,0.007398273736128237
5 hours,6,2,0.007398273736128237
buy 2,6,2,0.007398273736128237
current vet,6,2,0.007398273736128237
dog park,6,2,0.007398273736128237
dr greenwood,6,2,0.007398273736128237
dry food,6,2,0.007398273736128237
extremely disappointed,6,2,0.007398273736128237
eye drops,6,2,0.007398273736128237
eye infection,6,2,0.007398273736128237
feel comfortable,6,2,0.007398273736128237
minute wait,6,2,0.007398273736128237
minutes late,6,2,0.007398273736128237
multiple times,6,2,0.007398273736128237
parking lot,6,2,0.007398273736128237
phone calls,6,2,0.007398273736128237
vet techs,6,2,0.007398273736128237
